@s0 legend "1"
2.103461 2.50612551e+01 8.17227003e-03
2.108204 2.50333083e+01 7.20401514e-03
2.112946 2.50163892e+01 7.63118958e-03
2.117689 2.50182595e+01 8.22885324e-03
2.122432 2.50016864e+01 7.81636903e-03
2.127175 2.50183394e+01 7.76317924e-03
2.131918 2.50016887e+01 7.86503750e-03
2.136661 2.49953037e+01 7.28974963e-03
2.141404 2.49971164e+01 8.34557160e-03
2.146146 2.49799596e+01 7.92850144e-03
2.150889 2.49952242e+01 7.63008194e-03
2.155632 2.49817193e+01 8.05295402e-03
2.160375 2.49915179e+01 7.62426707e-03
2.165118 2.49679954e+01 7.30814691e-03
2.169861 2.49770803e+01 7.89620817e-03
2.174604 2.49653293e+01 7.35371431e-03
2.179347 2.49682726e+01 7.61150242e-03
2.184089 2.49544037e+01 7.31116279e-03
2.188832 2.49553194e+01 7.20950223e-03
2.193575 2.49594552e+01 8.29770753e-03
2.198318 2.49658664e+01 7.67878312e-03
2.203061 2.49402100e+01 7.94078201e-03
2.207804 2.49441505e+01 7.57541108e-03
2.212547 2.49231013e+01 7.70928726e-03
2.217289 2.49296511e+01 6.85852135e-03
2.222032 2.49424937e+01 7.07229441e-03
2.226775 2.49478167e+01 7.38963249e-03
2.231518 2.49426823e+01 7.98676850e-03
2.236261 2.49217348e+01 6.95140622e-03
2.241004 2.49258411e+01 7.66662911e-03
2.245747 2.49155511e+01 7.42319005e-03
2.25049 2.49184065e+01 7.57714382e-03
2.255232 2.49066999e+01 7.87532541e-03
2.259975 2.49084805e+01 7.01753830e-03
2.264718 2.49017924e+01 7.21278763e-03
2.269461 2.48979251e+01 7.88638851e-03
2.274204 2.48982332e+01 7.30278533e-03
2.278947 2.48827994e+01 7.48964438e-03
2.28369 2.48844097e+01 7.44971987e-03
2.288432 2.48866998e+01 7.33214058e-03
2.293175 2.48897901e+01 7.90279116e-03
2.297918 2.48845231e+01 6.93074321e-03
2.302661 2.48920771e+01 7.81405308e-03
2.307404 2.48831218e+01 6.90087237e-03
2.312147 2.48715716e+01 7.97593540e-03
2.31689 2.48675968e+01 7.88082465e-03
2.321632 2.48581643e+01 7.98364636e-03
2.326375 2.48735604e+01 7.94576524e-03
2.331118 2.48675849e+01 7.12238934e-03
2.335861 2.48628037e+01 6.88590548e-03
2.340604 2.48527985e+01 7.52366522e-03
2.345347 2.48435559e+01 6.92913797e-03
2.35009 2.48532008e+01 8.25637884e-03
2.354833 2.48491320e+01 7.06365905e-03
2.359575 2.48535781e+01 7.92326665e-03
2.364318 2.48506674e+01 7.67610368e-03
2.369061 2.48402548e+01 7.14472610e-03
2.373804 2.48284500e+01 6.05822768e-03
2.378547 2.48236296e+01 7.34391977e-03
2.38329 2.48255752e+01 7.01683066e-03
2.388033 2.48286057e+01 7.33423554e-03
2.392775 2.48280141e+01 6.24503308e-03
2.397518 2.48242738e+01 7.22217939e-03
2.402261 2.48176479e+01 7.57983162e-03
2.407004 2.48126318e+01 6.96273533e-03
2.411747 2.48201119e+01 7.60453387e-03
2.41649 2.48110723e+01 7.70785760e-03
2.421233 2.48031606e+01 8.04004255e-03
2.425976 2.48147933e+01 7.04580597e-03
2.430718 2.48086288e+01 7.36901207e-03
2.435461 2.48003501e+01 8.24094882e-03
2.440204 2.47921364e+01 7.69273672e-03
2.444947 2.4792133e+01 7.7518222e-03
2.44969 2.47885259e+01 7.53161470e-03
2.454433 2.48030942e+01 6.76301164e-03
2.459176 2.48115389e+01 7.38459231e-03
2.463918 2.48029127e+01 5.76235259e-03
2.468661 2.47826749e+01 7.58327854e-03
2.473404 2.47869645e+01 6.63091017e-03
2.478147 2.47809213e+01 7.93973115e-03
2.48289 2.47713646e+01 7.58232125e-03
2.487633 2.47653240e+01 7.26396665e-03
2.492376 2.47679696e+01 7.38274943e-03
2.497118 2.47631744e+01 7.64799266e-03
2.501861 2.47554834e+01 7.56063553e-03
2.506604 2.47645089e+01 7.00151488e-03
2.511347 2.47581153e+01 7.01745301e-03
2.51609 2.47416217e+01 7.65668294e-03
2.520833 2.47558900e+01 6.77317028e-03
2.525576 2.47465407e+01 7.78123741e-03
2.530319 2.47405598e+01 7.92072206e-03
2.535061 2.47320589e+01 7.31093572e-03
2.539804 2.47343761e+01 7.15332957e-03
2.544547 2.47411905e+01 7.11342876e-03
2.54929 2.47244714e+01 6.74156913e-03
2.554033 2.47219697e+01 7.74417557e-03
2.558776 2.47071777e+01 7.49861146e-03
2.563519 2.47281201e+01 7.25578674e-03
2.568261 2.47227331e+01 6.83512421e-03
2.573004 2.47100090e+01 7.99416619e-03
2.577747 2.47172827e+01 7.75065929e-03
2.58249 2.47164242e+01 7.16568842e-03
2.587233 2.47227428e+01 7.22286416e-03
2.591976 2.47184353e+01 6.73991189e-03
2.596719 2.47205258e+01 7.10907587e-03
2.601462 2.47214528e+01 8.25319416e-03
2.606204 2.47210903e+01 7.22765293e-03
2.610947 2.47093652e+01 6.64336906e-03
2.61569 2.47081174e+01 7.58972366e-03
2.620433 2.47014126e+01 7.20863844e-03
2.625176 2.46988687e+01 7.00528094e-03
2.629919 2.47073716e+01 7.51331038e-03
2.634662 2.47032139e+01 7.00570915e-03
2.639404 2.47012558e+01 6.93967678e-03
2.644147 2.47054224e+01 6.81650626e-03
2.64889 2.46937263e+01 7.20811248e-03
2.653633 2.46910535e+01 7.21519637e-03
2.658376 2.46892175e+01 7.27241794e-03
2.663119 2.46970009e+01 7.64559599e-03
2.667862 2.46866947e+01 6.90630862e-03
2.672605 2.46779152e+01 6.66430116e-03
2.677347 2.46809345e+01 6.63237553e-03
2.68209 2.46775899e+01 7.09335512e-03
2.686833 2.4700421e+01 7.2601680e-03
2.691576 2.46923118e+01 7.98061473e-03
